City,Country,Smart Parking,Car Sharing Services,Traffic,Public Transport,E-Charge Spots,Infrastructure Investment,Clean Energy,Smart Building,Waste Disposal,Environment Protection,Environmental Performance Index,Citizen Participation,Digitalization of Government,Urban Planning,Education,Business Ecosystem,Blockchain ecosystem,4G LTE,Internet speed,Wifi Hotspots,Smartphone Penetration,Cyber security,Living Standard,Expert Perception,Rank/Score,IMD Smart City Index
Aalborg,Denmark,8.22,2.06,8.71,4.18,2.51,7.88,8.54,6.75,8.25,8.71,9.31,9.22,5.99,7.05,8.68,9.02,1.31,8.26,7.96,1.91,9.69,7.2,8.11,6.57,6.94,
Aarhus,Denmark,8.5,3.34,8.71,2.44,2.59,7.88,8.54,6.75,8.25,7.66,9.31,9.61,6.67,2.29,7.73,7.88,1.31,6.14,5.08,2.36,9.69,7.2,7.2,6.57,6.42,
Abu Dhabi,United Arab Emirates,6.44,4.93,9.02,9.02,6.37,8.03,1.15,2.36,2.6,2.74,1.69,1.08,7.28,7.66,4.25,4.48,2.17,5.69,1.98,6.75,9.31,2.13,6.22,9.47,5.6,56
Adelaide,Australia,5.13,3.27,6.67,9.55,5.76,7.5,2.77,6.29,4.2,2.59,4.89,9.53,3.5,2.44,4.33,4.18,2.64,6.45,2.36,4.93,4.97,9.62,7.58,9.16,6.07,
Amsterdam,Netherlands,9.91,8.87,8.87,3.34,8.26,5.99,1.92,6.82,8.93,4.93,5.19,9.22,9.55,8.41,5.46,6.97,9.22,8.18,6.75,6.97,6.49,7.28,7.43,10,7.55,11
Ancona,Italy,2.78,2.66,8.71,4.03,1.53,5.54,6.92,7.35,7.25,9.85,6.11,6.51,5.54,4.55,9.39,8.79,7.03,2.97,2.06,1.61,4.66,3.95,4.63,3.14,4.82,
Auckland,New Zealand,2.78,4.18,2.89,9.77,7.73,2.13,9.62,2.89,3.9,3.19,5.27,5.5,5.39,9.32,3.08,4.03,2.02,9.02,8.34,8.71,5.35,9.17,3.34,6.57,5.81,6
Barcelona,Spain,10,6.97,4.63,1.61,5.61,4.71,6.08,5.69,5.27,3.65,7.41,6.66,4.55,1.15,1.87,2.59,8.9,2.36,3.19,3.87,5.12,2.74,2.06,10,4.83,48
Bari,Italy,5.13,1.83,6.67,2.06,2.29,5.54,6.92,7.35,7.25,8.79,6.11,6.9,5.31,2.13,7.24,6.82,7.03,8.49,8.71,1.53,4.66,3.95,4.48,3.14,5.03,
Bayreuth,Germany,2.78,1.68,7.28,1.98,1.08,8.79,5.77,10,9.92,5.54,7.25,7.75,7.81,2.59,6.48,5.76,7.03,2.13,2.66,1.15,6.49,5.69,9.24,3.52,5.34,
Beijing,China,8.22,9.39,1.3,7.96,8.79,10,4.54,5.39,1.84,1.91,1.31,1,2.82,5.31,1.76,1.45,8.36,3.65,5.01,9.85,2.22,1.98,1,3.14,4.21,60
Bergen,Norway,5.13,6.22,9.62,9.47,7.96,4.18,9.92,1.76,8.25,7.96,6.49,7.59,8.71,5.54,8.34,8.03,1.78,9.7,8.94,4.4,9.16,9.09,9.92,6.57,7.57,
Berlin,Germany,9.91,9.62,5.76,2.51,9.47,8.79,5.77,10,9.92,2.51,7.25,8.22,2.66,8.18,3.31,2.51,9.61,3.57,5.31,8.79,6.49,5.69,7.5,7.33,6.72,
Birmingham,United Kingdom,9.25,6.37,7.28,5.76,3.19,6.45,4.77,9.24,7.56,5.24,8.7,2.63,1.53,5.61,5.31,6.52,8.28,3.27,5.24,4.1,5.58,4.55,4.1,3.14,5.12,52
Bochum,Germany,1,1.76,8.94,4.4,1.76,8.79,5.77,10,9.92,7.05,7.25,8.06,5.61,1,9.05,8.26,7.03,5.31,7.43,2.13,6.49,5.69,9.02,6.57,6.19,
Bordeaux,France,6.44,6.07,4.63,5.39,3.57,7.2,3.85,8.34,6.34,9.55,9.85,4.49,8.87,9.55,8.11,8.41,7.03,4.55,4.48,1,3.67,6.75,5.31,3.14,5.7,
Boston,United States,9.25,8.41,6.37,6.52,6.9,9.77,2.46,9.02,5.81,4.78,4.05,3.79,5.01,4.71,7.43,8.18,9.69,5.39,8.41,5.46,7.03,6.22,8.87,9.16,7.07,32
Bratislava,Slovakia,5.13,3.04,7.58,3.87,4.33,2.06,4.31,1.91,2.3,7.81,3.52,2.86,5.92,7.2,7.05,6.45,7.03,6.75,7.58,5.69,1.92,2.44,2.74,9.16,5,84
Brussels,Belgium,7.38,7.05,2.89,2.97,4.71,1.68,4.23,5.84,9.01,4.48,6.19,8.91,1,9.17,4.67,4.78,7.03,8.56,7.13,5.84,5.19,4.25,5.54,6.8,5.65,64
Budapest,Hungary,1,7.28,8.87,3.42,8.34,2.97,1.77,2.13,3.44,5.46,2.91,3.79,4.03,8.34,3.34,3.27,1.55,9.62,9.55,7.88,1.99,3.12,2.59,9.16,5.12,83
Catania,Italy,5.13,4.63,5.76,2.59,2.21,5.54,6.92,7.35,7.25,8.94,6.11,6.97,4.86,1.23,7.01,6.75,7.03,7.28,6.82,2.44,4.66,3.95,4.86,6.57,5.35,
Chicago,United States,9.25,5.01,7.28,8.03,9.32,9.77,2.46,9.02,5.81,2.06,4.05,3.41,5.24,10,4.06,5.08,9.45,4.86,7.73,8.87,7.03,6.22,9.32,3.14,6.58,53
Cologne,Germany,9.25,8.64,3.8,3.72,6.75,8.79,5.77,10,9.92,4.63,7.25,8.06,1.91,1.61,5.73,5.92,8.12,6.52,9.09,5.31,6.49,5.69,7.96,3.14,6.21,
Copenhagen,Denmark,9.25,7.35,8.71,5.76,5.99,7.88,8.54,6.75,8.25,6.75,9.31,9.46,9.24,8.79,6.14,7.73,3.43,5.54,4.55,3.34,9.69,7.2,6.14,10,7.38,5
Daejeon,South Korea,5.13,7.96,8.71,9.39,4.25,6.67,1.38,5.24,8.7,3.34,2.3,6.12,3.04,1.08,4.71,3.5,1,9.47,9.85,7.58,7.64,4.71,3.87,6.57,5.68,
Dubai,United Arab Emirates,7.38,5.76,5.76,7.58,9.17,8.03,1.15,2.36,2.6,1.45,1.69,1.39,4.33,3.27,2.25,1.76,3.03,7.13,2.51,9.55,9.31,2.13,6.29,9.47,5.39,45
Dublin,Ireland,1,5.99,1.61,4.55,5.24,1.61,4.85,6.29,7.25,5.76,8.32,5.27,1.15,4.63,6.07,7.43,8.12,2.82,4.71,4.25,9.92,7.43,8.26,6.8,5.6,30
Düsseldorf,Germany,6.44,7.73,8.03,3.8,5.16,8.79,5.77,10,9.92,5.84,7.25,8.06,1.76,1.38,7.43,6.37,7.03,7.05,9.32,3.95,6.49,5.69,7.88,6.57,6.55,10
Espoo,Finland,2.78,5.84,9.62,8.18,2.74,2.89,7.92,3.65,5.27,7.2,8.25,5.03,9.02,2.06,8.6,8.87,7.03,7.43,6.22,3.5,8.86,8.71,5.99,6.57,6.38,
Florence,Italy,5.13,6.45,7.28,1.91,2.44,5.54,6.92,7.35,7.25,8.49,6.11,6.66,8.34,5.01,6.33,6.6,7.03,4.03,3.04,2.59,4.66,3.95,3.65,6.57,5.25,
Frankfurt am Main,Germany,1,8.03,6.37,3.65,5.08,8.79,5.77,10,9.92,5.31,7.25,8.45,1.61,5.39,6.37,6.22,8.98,3.19,4.63,5.16,6.49,5.69,6.82,9.16,6.27,
Geneva,Switzerland,6.44,5.08,3.27,7.28,2.82,4.33,8.92,7.5,8.93,8.18,10,1.7,6.07,5.84,6.45,8.64,3.66,6.6,5.92,2.29,7.79,7.96,9.47,6.57,6.43,4
Genova,Italy,2.78,3.42,8.03,2.21,3.42,5.54,6.92,7.35,7.25,7.28,6.11,5.81,5.46,2.51,5.31,5.24,7.03,4.25,3.42,3.42,4.66,3.95,4.33,1.23,4.39,
Hamburg,Germany,9.91,8.71,4.25,3.34,8.64,8.79,5.77,10,9.92,3.42,7.25,6.82,3.27,8.56,4.29,4.55,9.3,2.21,3.12,6.82,6.49,5.69,7.05,7.25,6.43,
Hämeenlinna,Finland,1,2.89,10,8.56,2.06,2.89,7.92,3.65,5.27,8.64,8.25,4.8,9.47,2.06,9.66,9.77,7.03,4.78,2.89,1.83,8.86,8.71,7.66,6.57,6.14,
Hannover,Germany,9.63,7.2,5.76,4.25,2.89,8.79,5.77,10,9.92,6.45,7.25,7.21,7.58,6.07,8.11,6.29,7.03,4.55,6.9,2.89,6.49,5.69,8.18,3.14,6.32,26
Helsingborg,Sweden,6.44,3.5,8.03,4.86,1.3,3.34,8.92,5.01,8.7,10,8.93,8.84,9.17,2.06,9.66,10,2.49,4.71,4.4,1.23,8.02,7.73,8.71,7.25,6.48,
Helsinki,Finland,6.44,5.54,7.28,5.99,6.45,2.89,7.92,3.65,5.27,5.61,8.25,5.42,9.7,2.82,5.8,6.14,8.12,8.64,7.88,4.71,8.86,8.71,5.76,9.16,6.77,8
Hong Kong,China,6.44,1,3.27,6.45,9.7,10,4.54,1.23,7.33,2.29,1.31,1.16,4.25,7.88,2.47,1.83,7.73,2.59,3.34,9.39,2.22,1.98,3.8,9.16,4.84,37
Joensuu,Finland,1,2.74,8.71,9.92,5.01,2.89,7.92,3.65,5.27,8.56,8.25,3.95,6.97,4.55,9.74,9.62,7.03,5.01,3.5,4.48,8.86,8.71,6.75,6.57,6.28,
Jyväskylä,Finland,1,2.44,8.03,7.43,1.61,2.89,7.92,3.65,5.27,8.03,8.25,4.18,8.26,4.55,9.13,9.32,7.03,8.11,7.2,1.38,8.86,8.71,6.67,3.14,5.85,
Kuala Lampur,Malaysia,2.78,4.55,3.8,5.84,5.54,3.57,1.69,2.21,1,3.72,1.76,8.76,3.57,7.13,3.42,3.19,2.25,1.45,1.61,7.13,3.06,8.79,2.97,6.57,4.42,70
Lahti,Finland,1,2.59,4.25,7.81,7.2,2.89,7.92,3.65,5.27,8.34,8.25,6.51,5.92,4.55,9.28,9.39,7.03,4.33,2.59,1.76,8.86,8.71,6.97,3.14,5.63,
Leeds,United Kingdom,8.5,4.03,7.28,6.9,4.93,6.45,4.77,9.24,7.56,5.99,8.7,3.09,6.9,2.36,6.22,5.84,7.1,5.92,8.71,5.24,5.58,4.55,5.16,3.14,5.64,
Lisbon,Portugal,7.38,5.61,3.27,3.5,5.84,3.65,8,1.45,2.98,8.41,4.13,2.24,6.6,3.42,7.5,6.67,7.03,3.19,4.18,3.12,3.75,4.86,2.44,6.57,4.69,76
Ljubljana,Slovenia,5.13,4.86,9.85,2.82,3.5,1.08,5,1.83,4.28,8.26,3.14,3.48,1.3,7.73,8.37,7.35,7.03,7.28,7.81,4.55,2.37,4.18,3.42,6.57,5,
London,United Kingdom,9.25,9.7,2.36,5.46,9.85,6.45,4.77,9.24,7.56,2.21,8.7,4.1,1.08,8.94,1.79,1.91,9.77,3.87,6.29,9.7,5.58,4.55,4.03,9.16,6.09,20
Los Angeles,United States,9.25,7.43,1.38,8.87,9.77,9.77,2.46,9.02,5.81,1.53,4.05,2.78,4.55,3.5,3.76,4.63,9.84,5.31,8.03,9.62,7.03,6.22,8.94,9.16,6.81,35
